row_id,english_source,output_A,output_B,A_authenticity_1to5,A_adequacy_1to5,B_authenticity_1to5,B_adequacy_1to5,preference_A_B_tie,notes
21,Gosling and Stone received nominations for Best Actor and Actress respectively.,高斯頓同石詩蓓分別獲提名做最佳男主角同最佳女主角。,高斯林同史東分别得最佳男陣師同女陣師提名。,,,,,,
96,Authorities speculate that this indicates that containers holding uranium fuel at the site may have ruptured and are leaking.,當局估計呢個表示場地上面存放烏拉提燃料嘅容器可能已經損壞咗，而且漏咗。,当局推测呢個表示-site可能有uranium燃料嘅container爆漏了。,,,,,,
43,The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.,802.11n 嘅速度遠遠快過佢哋前身，最高理論傳輸率係 600Mbit/s。,802.11n嘅速度比佢乸代快好多，最大理論吞吐量系600Mbit/s。,,,,,,
19,"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.",作為NSA，佢幫卡特處理外交事務，好似卡地夫協定，一九七八年； Usa美國同中國正常化關係，一九七八至一九七八年；伊朗革命，導致伊朗人質危機，一九七九年；蘇聯入侵阿富汗，一九七九年。,做咗NSA，佢幫手卡特處理世界大事，例如坎皮恩戴維協議，1978年；美國中國關係正常化，經過1970年代尾；伊朗革命，引致伊朗人質危機，1979年；同埋蘇聯入侵阿富汗，1979年。,,,,,,
131,She came to this conclusion due to the multitude of positive comments and encouragement sent to her by both female and male individuals urging that contraception medication be considered a medical necessity.,佢係因為收到好多正意見同鼓勵，既男既女都喺推避孕藥應該算緊醫學上嘅需要，所以得出呢個結論。,佢係因為收到唔少男女個別送嚟嘅讚美同埋鼓勵，催促咗佢，所以到咗呢個結論，話避孕藥應該被視為醫療上嘅必要。,,,,,,
193,"Perry stated that he would ""return to Texas to assess the results of tonight's caucus, determine whether there is a path forward for myself in this race"", but later said that he would remain in the race and compete in the January 21 South Carolina primary.",珀利表示佢會「返到德克薩斯州評估今晝嘅初選結果，決定自己喺呢場選舉入面有無路線可走」，不過之後話佢會繼續參選並喺一月廿一南卡羅來納州初選中競選。,佩里講佢會返德州去評估今晚初選嘅結果，睇緊有冇路向前行咁樣嘅路徑俾自己走，但之後又講會留陣參加賽勒馬 Commonwealth 一月廿一日嘅初選。,,,,,,
5,"Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.",Ring嘅董事經Jamie Siminoff之前講過公司系從佢 Garage度門鈴聽唔到𠮶時開始嘅,之前，嘅時候，Ring嘅總裁 Jamie Siminoff 唔喺講，公司係喺佢個車房嘅舖面開始嘅，嗰陣佢個門鈴喺佢嘅舖度唔聽到。,,,,,,
85,Commons Administrator Adam Cuerden expressed his frustration over the deletions when he spoke to Wikinews last month.,Commons管理员Adam Cuerden上月同Wikinews倾时表晒呢点 frustrated 关啲删嘅嘅心情。,共通百科嘅管理員亞當屈臣喺上個月接受維基新聞訪問嗰陣，表達咗佢對刪除嘅唔滿意。,,,,,,
122,"After the accident occurred, Gibson was transported to a hospital but died shortly afterwards.",喺意外發生之後，Gibson被送咗去醫院但係好快就死咗。,事故發生之後，吉伯斯被運送到医院但緊接幾死晒。,,,,,,
97,Dr. Tony Moll discovered the Extremely Drug Resistant Tuberculosis (XDR-TB) in the South African region KwaZulu-Natal.,Tony 摩嘗醫生發現咗極度抗藥性肺結核（XDR-TB）喺南非夸祖魯那塔爾地區。,Tony Moll醫生喺南非嘅KwaZulu-Natal地區發現咗極強抗藥性肺結核（XDR-TB）。,,,,,,
71,"Prime Minister Stephen Harper has agreed to send the government's 'Clean Air Act' to an all-party committee for review, before its second reading, after Tuesday's 25 minute meeting with NDP leader Jack Layton at the PMO.",國務院總理史提芬活頓同意喺同NDP領袖喺PMO見面25分鐘之後，將政府嘅《清潔空氣條例》送交一個跨黨派委員會審議，喺第二次閱讀之前。,總理史蒂芬·哈珀已經同意會將政府嘅「清空空氣法」交到跨黨派委員會去審查，在第二次辯論之前，之前呢日同NDP領袖傑克·萊頓在PMO度見面廿五分钟。,,,,,,
73,"Ever since the Federal Government stepped in to take over funding of the Mersey hospital in Devonport, Tasmania, the state government and some federal MPs have criticised this act as a stunt in the prelude to the federal election to be called by November.",自從聯邦政府接手贊臣的梅利醫院 Funding 以来，省政府同幾位國會議員都批評呢個舉動係選前表演，預料十一月前會宣布大選。,自從聯邦政府介入接手塔斯馬尼亞德文波特嘅墨累醫院資金之後，州政府同埋一啲聯邦國會議員就將呢單嘢批評做係十一月將要舉行嘅聯邦選舉前嘅一個花招。,,,,,,
167,"ASUS Eee PC, earlier launched world-wide for cost-saving and functionality factors, became a hot topic in 2007 Taipei IT Month.",ASUS Eee PC，早前因為悭錢同功能嘅原因全球推出，2007年台北 COMPUTER 月仲成為熱話。,亞洲電腦嘅ASUS Eee PC，早喺世界各地推出嚟，主要係為咗節省成本同埋提升功能，喺2007年嘅台北IT月成咗熱門話題。,,,,,,
104,They are still trying to determine just how large the crash was and how the Earth will be affected.,佢哋仍然想要確定呢場撞機好大以及地球會受到乜野影響,佢哋仲係喺度試吓确定撞车嘅规模系咩，同埋地球会唔会受影响。,,,,,,
40,"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.",佢俾海盜騷喺，喺西藏俾一隻瘋狗襲，喺尼泊爾逃婚，最後喺印度俾人捉。,佢被人海盗劫/MIT收/喺西藏被野狗咬/MIT逃/喇/尼泊爾避/喇/婚姻/MIT捉/喇/印度,,,,,,
150,"The medical charity Mangola, Medecines Sans Frontieres and the World Health Organisation say it is the worst outbreak recorded in the country.",醫慈善團.Microsoft、世界衛生組織講呢次爆發係該國記錄中最差嘅。,醫療慈善機構Mangola、Medecines Sans Frontieres同世界衛生組織話，呢喺佢哋國家記錄到最嚴重嘅一單疫情。,,,,,,
88,"The work done was mostly theoretical, but the program was written to simulate observations made of the Sagittarius galaxy.",做嘅工作主要係理論上嘅，不過呢個程式係寫嚟模擬觀察到嘅獵戶座星系。,做嘅工作多係理論嘅，但呢個程序寫緊嚟模擬對銀河系嘅观测結果，特別係人馬座銀河系。,,,,,,
44,"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.","杜佛樂呢個係已經系兩個成年!"");",杜華爾嘅老婆有兩個大人仔，佢唔係米勒嘅大影響，因為故事係講佢嘅。,,,,,,
188,"Chambers, an agnostic, argues that his lawsuit is ""frivolous"" and ""anybody can sue anybody.""",陳伯斯，一個agnostic， arguing �介個訴訟係「浪費時間」，冇乜嘢意思，plus 任何一个人都可以 sue 任何人。,陳廳，一個無神論者，主張佢嘅訴訟係「虛無縹緲」同「任何人都可夾訴任何人」。,,,,,,
